"Date","Price","Open","High","Low","Change %"
"Jul 92","101.375","102.844","103.438","101.375","-1.19%"
"Jun 92","102.594","103.125","103.188","102.562","-0.61%"
"May 92","103.219","102.594","103.219","102.500","0.82%"
"Apr 92","102.375","98.781","102.500","98.750","2.92%"
"Mar 92","99.469","102.125","102.125","99.469","-2.66%"
"Feb 92","102.188","101.531","102.312","101.531","0.68%"
"Jan 92","101.500","100.406","101.719","100.406","1.53%"
"Dec 91","99.969","100.219","101.375","99.969","-0.31%"
"Nov 91","100.281","100.844","101.438","99.906","-0.83%"
"Oct 91","101.125","101.406","101.438","100.562","-0.18%"
"Sep 91","101.312","100.344","101.562","100.344","916.17%"
"Aug 91","9.970","9.970","9.970","9.970","-2.45%"
"Jul 91","10.220","10.220","10.220","10.220","-2.48%"
"Jun 91","10.480","10.480","10.480","10.480","1.55%"
"May 91","10.320","10.320","10.320","10.320","0.29%"
"Apr 91","10.290","10.290","10.290","10.290","0.49%"
"Mar 91","10.240","10.240","10.240","10.240","0.10%"
"Feb 91","10.230","10.230","10.230","10.230","-4.03%"
"Jan 91","10.660","10.660","10.660","10.660","-4.57%"
"Dec 90","11.170","11.170","11.170","11.170","2.95%"
"Nov 90","10.850","10.850","10.850","10.850","-3.30%"
"Oct 90","11.220","11.220","11.220","11.220","-7.12%"
"Sep 90","12.080","12.080","12.080","12.080","1.26%"
"Aug 90","11.930","11.930","11.930","11.930","-0.50%"
"Jul 90","11.990","11.990","11.990","11.990","0.42%"
"Jun 90","11.940","11.940","11.940","11.940","-3.48%"
"May 90","12.370","12.370","12.370","12.370","-8.71%"
"Apr 90","13.550","13.550","13.550","13.550","4.31%"
"Mar 90","12.990","12.990","12.990","12.990","5.35%"
"Feb 90","12.330","12.330","12.330","12.330","4.49%"
"Jan 90","11.800","11.800","11.800","11.800","6.69%"
"Dec 89","11.060","11.060","11.060","11.060","-2.64%"
"Nov 89","11.360","11.360","11.360","11.360","3.46%"
"Oct 89","10.980","10.980","10.980","10.980","-1.52%"
"Sep 89","11.150","11.150","11.150","11.150","6.70%"
"Aug 89","10.450","10.450","10.450","10.450","2.45%"
"Jul 89","10.200","10.200","10.200","10.200","-5.90%"
"Jun 89","10.840","10.840","10.840","10.840","-0.73%"
"May 89","10.920","10.920","10.920","10.920","3.41%"
"Apr 89","10.560","10.560","10.560","10.560","1.54%"
"Mar 89","10.400","10.400","10.400","10.400","0.39%"
"Feb 89","10.360","10.360","10.360","10.360","3.39%"
"Jan 89","10.020","10.020","10.020","10.020","-4.48%"
"Dec 88","10.490","10.490","10.490","10.490","-2.33%"
"Nov 88","10.740","10.740","10.740","10.740","8.70%"
"Oct 88","9.880","9.880","9.880","9.880","-2.27%"
"Sep 88","10.110","10.110","10.110","10.110","-3.53%"
"Aug 88","10.480","10.480","10.480","10.480","6.07%"
"Jul 88","9.880","9.880","9.880","9.880","1.02%"
"Jun 88","9.780","9.780","9.780","9.780","7.95%"
"May 88","9.060","9.060","9.060","9.060","-0.33%"
"Apr 88","9.090","9.090","9.090","9.090","1.68%"
"Mar 88","8.940","8.940","8.940","8.940","-3.25%"
"Feb 88","9.240","9.240","9.240","9.240","0.22%"
"Jan 88","9.220","9.220","9.220","9.220","-1.60%"
"Dec 87","9.370","9.370","9.370","9.370","3.42%"
"Nov 87","9.060","9.060","9.060","9.060","-2.89%"
"Oct 87","9.330","9.330","9.330","9.330","-10.12%"
"Sep 87","10.380","10.380","10.380","10.380","-1.80%"
"Aug 87","10.570","10.570","10.570","10.570","6.23%"
"Jul 87","9.950","9.950","9.950","9.950","7.22%"
"Jun 87","9.280","9.280","9.280","9.280","4.15%"
"May 87","8.910","8.910","8.910","8.910","-0.34%"
"Apr 87","8.940","8.940","8.940","8.940","-1.97%"
"Mar 87","9.120","9.120","9.120","9.120","-5.69%"
"Feb 87","9.670","9.670","9.670","9.670","-5.75%"
