"Date","Price","Open","High","Low","Change %"
"Jan 99","4.542","4.542","4.542","4.542","0.09%"
"Dec 98","4.538","4.538","4.538","4.538","1.20%"
"Nov 98","4.484","4.484","4.484","4.484","6.03%"
"Oct 98","4.229","4.229","4.229","4.229","-0.21%"
"Sep 98","4.238","4.238","4.238","4.238","-13.72%"
"Aug 98","4.912","4.912","4.912","4.912","-10.79%"
"Jul 98","5.506","5.506","5.506","5.506","0.68%"
"Jun 98","5.469","5.469","5.469","5.469","-1.60%"
"May 98","5.558","5.558","5.558","5.558","-3.94%"
"Apr 98","5.786","5.786","5.786","5.786","2.90%"
"Mar 98","5.623","5.623","5.623","5.623","0.52%"
"Feb 98","5.594","5.594","5.594","5.594","3.90%"
"Jan 98","5.384","5.384","5.384","5.384","-5.74%"
"Dec 97","5.712","5.712","5.712","5.712","-2.28%"
"Nov 97","5.845","5.845","5.845","5.845","2.31%"
"Oct 97","5.713","5.713","5.713","5.713","-4.66%"
"Sep 97","5.992","5.992","5.992","5.992","-3.79%"
"Aug 97","6.228","6.228","6.228","6.228","5.47%"
"Jul 97","5.905","5.905","5.905","5.905","-7.49%"
"Jun 97","6.383","6.383","6.383","6.383","-1.92%"
"May 97","6.508","6.508","6.508","6.508","-0.99%"
"Apr 97","6.573","6.573","6.573","6.573","-2.75%"
"Mar 97","6.759","6.759","6.759","6.759","5.76%"
"Feb 97","6.391","6.391","6.391","6.391","2.26%"
"Jan 97","6.250","6.250","6.250","6.250","0.60%"
"Dec 96","6.213","6.213","6.213","6.213","6.42%"
"Nov 96","5.838","5.838","5.838","5.838","-3.89%"
"Oct 96","6.074","6.074","6.074","6.074","-6.03%"
"Sep 96","6.464","6.464","6.464","6.464","-3.98%"
"Aug 96","6.732","6.732","6.732","6.732","2.42%"
"Jul 96","6.573","6.573","6.573","6.573","1.61%"
"Jun 96","6.469","6.469","6.469","6.469","-2.49%"
"May 96","6.634","6.634","6.634","6.634","3.33%"
"Apr 96","6.420","6.420","6.420","6.420","5.37%"
"Mar 96","6.093","6.093","6.093","6.093","6.13%"
"Feb 96","5.741","5.741","5.741","5.741","9.64%"
"Jan 96","5.236","5.236","5.236","5.236","-2.77%"
"Dec 95","5.385","5.385","5.385","5.385","-2.52%"
"Nov 95","5.524","5.524","5.524","5.524","-5.02%"
"Oct 95","5.816","5.816","5.816","5.816","-3.42%"
"Sep 95","6.022","6.022","6.022","6.022","-0.86%"
"Aug 95","6.074","6.074","6.074","6.074","-1.30%"
"Jul 95","6.154","6.154","6.154","6.154","3.08%"
"Jun 95","5.970","5.970","5.970","5.970","-1.47%"
"May 95","6.059","6.059","6.059","6.059","-11.87%"
"Apr 95","6.875","6.875","6.875","6.875","-2.57%"
"Mar 95","7.056","7.056","7.056","7.056","0.09%"
"Feb 95","7.050","7.050","7.050","7.050","-6.08%"
"Jan 95","7.506","7.506","7.506","7.506","-4.19%"
"Dec 94","7.834","7.834","7.834","7.834","0.49%"
"Nov 94","7.796","7.796","7.796","7.796","4.06%"
"Oct 94","7.492","7.492","7.492","7.492","2.86%"
"Sep 94","7.284","7.284","7.284","7.284","6.99%"
"Aug 94","6.808","6.808","6.808","6.808","1.11%"
"Jul 94","6.733","6.733","6.733","6.733","-3.16%"
"Jun 94","6.953","6.953","6.953","6.953","2.78%"
"May 94","6.765","6.765","6.765","6.765","1.97%"
"Apr 94","6.634","6.634","6.634","6.634","6.50%"
"Mar 94","6.229","6.229","6.229","6.229","11.63%"
"Feb 94","5.580","5.580","5.580","5.580","11.13%"
"Jan 94","5.021","5.021","5.021","5.021","-1.76%"
"Dec 93","5.111","5.111","5.111","5.111","-0.97%"
"Nov 93","5.161","5.161","5.161","5.161","7.45%"
"Oct 93","4.803","4.803","4.803","4.803","0.82%"
"Sep 93","4.764","4.764","4.764","4.764","-0.61%"
"Aug 93","4.793","4.793","4.793","4.793","-6.79%"
"Jul 93","5.142","5.142","5.142","5.142","1.90%"
"Jun 93","5.046","5.046","5.046","5.046","-6.05%"
"May 93","5.371","5.371","5.371","5.371","5.09%"
"Apr 93","5.111","5.111","5.111","5.111","-2.33%"
"Mar 93","5.233","5.233","5.233","5.233","0.63%"
"Feb 93","5.200","5.200","5.200","5.200","-6.36%"
"Jan 93","5.553","5.553","5.553","5.553","-7.45%"
