"Date","Price","Open","High","Low","Change %"
"Jul 94","6.329","6.329","6.329","6.329","-2.00%"
"Jun 94","6.458","6.458","6.458","6.458","3.61%"
"May 94","6.233","6.233","6.233","6.233","8.21%"
"Apr 94","5.760","5.760","5.760","5.760","2.84%"
"Mar 94","5.601","5.601","5.601","5.601","0.88%"
"Feb 94","5.552","5.552","5.552","5.552","9.23%"
"Jan 94","5.083","5.083","5.083","5.083","1.68%"
"Dec 93","4.999","4.999","4.999","4.999","-3.75%"
"Nov 93","5.194","5.194","5.194","5.194","-2.41%"
"Oct 93","5.322","5.322","5.322","5.322","-6.52%"
"Sep 93","5.693","5.693","5.693","5.693","-1.66%"
"Aug 93","5.789","5.789","5.789","5.789","-3.74%"
"Jul 93","6.014","6.014","6.014","6.014","-2.75%"
"Jun 93","6.184","6.184","6.184","6.184","-2.55%"
"May 93","6.346","6.346","6.346","6.346","1.16%"
"Apr 93","6.273","6.273","6.273","6.273","0.95%"
"Mar 93","6.214","6.214","6.214","6.214","-0.96%"
"Feb 93","6.274","6.274","6.274","6.274","-7.52%"
"Jan 93","6.784","6.784","6.784","6.784","-2.09%"
"Dec 92","6.929","6.929","6.929","6.929","-2.46%"
"Nov 92","7.104","7.104","7.104","7.104","-1.63%"
"Oct 92","7.222","7.222","7.222","7.222","-5.71%"
"Sep 92","7.659","7.659","7.659","7.659","-8.40%"
"Aug 92","8.361","8.361","8.361","8.361","-1.55%"
"Jul 92","8.493","8.493","8.493","8.493","1.17%"
"Jun 92","8.395","8.395","8.395","8.395","1.76%"
"May 92","8.250","8.250","8.250","8.250","-1.28%"
"Apr 92","8.357","8.357","8.357","8.357","1.05%"
"Mar 92","8.270","8.270","8.270","8.270","1.46%"
"Feb 92","8.151","8.151","8.151","8.151","-0.46%"
"Jan 92","8.189","8.189","8.189","8.189","-4.33%"
"Dec 91","8.560","8.560","8.560","8.560","-2.71%"
"Nov 91","8.798","8.798","8.798","8.798","0.03%"
"Oct 91","8.795","8.795","8.795","8.795","-0.02%"
"Sep 91","8.797","8.797","8.797","8.797","0.01%"
"Aug 91","8.796","8.796","8.796","8.796","-2.08%"
"Jul 91","8.983","8.983","8.983","8.983","2.80%"
"Jun 91","8.738","8.738","8.738","8.738","2.81%"
"May 91","8.499","8.499","8.499","8.499","-1.20%"
"Apr 91","8.602","8.602","8.602","8.602","-0.27%"
"Mar 91","8.625","8.625","8.625","8.625","0.71%"
"Feb 91","8.564","8.564","8.564","8.564","-4.25%"
"Jan 91","8.944","8.944","8.944","8.944","-0.66%"
"Sep 90","9.003","9.003","9.003","9.003","0.01%"
"Aug 90","9.002","9.002","9.002","9.002","4.12%"
"Jul 90","8.646","8.646","8.646","8.646","-2.18%"
"Jun 90","8.839","8.839","8.839","8.839","-1.44%"
"May 90","8.968","8.968","8.968","8.968","-1.03%"
"Apr 90","9.061","9.061","9.061","9.061","3.01%"
"Mar 90","8.796","8.796","8.796","8.796","-1.82%"
"Feb 90","8.959","8.959","8.959","8.959","9.67%"
"Jan 90","8.169","8.169","8.169","8.169","5.76%"
"Dec 89","7.724","7.724","7.724","7.724","-0.69%"
"Nov 89","7.778","7.778","7.778","7.778","4.99%"
"Oct 89","7.408","7.408","7.408","7.408","1.23%"
"Sep 89","7.318","7.318","7.318","7.318","4.51%"
"Aug 89","7.002","7.002","7.002","7.002","4.18%"
"Jul 89","6.721","6.721","6.721","6.721","-3.07%"
"Jun 89","6.934","6.934","6.934","6.934","-2.91%"
"May 89","7.142","7.142","7.142","7.142","3.72%"
"Apr 89","6.886","6.886","6.886","6.886","-1.02%"
"Mar 89","6.957","6.957","6.957","6.957","0.27%"
"Feb 89","6.938","6.938","6.938","6.938","8.66%"
"Jan 89","6.385","6.385","6.385","6.385","6.77%"
"Dec 88","5.980","5.980","5.980","5.980","3.05%"
"Nov 88","5.803","5.803","5.803","5.803","2.49%"
"Oct 88","5.662","5.662","5.662","5.662","-5.33%"
"Sep 88","5.981","5.981","5.981","5.981","-4.44%"
"Aug 88","6.259","6.259","6.259","6.259","2.29%"
"Jul 88","6.119","6.119","6.119","6.119","5.45%"
"Jun 88","5.803","5.803","5.803","5.803","3.09%"
"May 88","5.629","5.629","5.629","5.629","3.68%"
"Apr 88","5.429","5.429","5.429","5.429","5.03%"
"Mar 88","5.169","5.169","5.169","5.169","1.73%"
"Feb 88","5.081","5.081","5.081","5.081","-5.79%"
"Jan 88","5.393","5.393","5.393","5.393","0.48%"
"Dec 87","5.367","5.367","5.367","5.367","-0.76%"
"Nov 87","5.408","5.408","5.408","5.408","-21.92%"
"Oct 87","6.926","6.926","6.926","6.926","18.39%"
"Sep 87","5.850","5.850","5.850","5.850","4.22%"
"Aug 87","5.613","5.613","5.613","5.613","0.68%"
"Jul 87","5.575","5.575","5.575","5.575","6.54%"
"Jun 87","5.233","5.233","5.233","5.233","3.75%"
"May 87","5.044","5.044","5.044","5.044","0.40%"
"Apr 87","5.024","5.024","5.024","5.024","-3.92%"
"Mar 87","5.229","5.229","5.229","5.229","-3.95%"
"Feb 87","5.444","5.444","5.444","5.444","-1.36%"
"Jan 87","5.519","5.519","5.519","5.519","-4.68%"
"Dec 86","5.790","5.790","5.790","5.790","2.04%"
"Nov 86","5.674","5.674","5.674","5.674","0.30%"
"Oct 86","5.657","5.657","5.657","5.657","3.04%"
"Sep 86","5.490","5.490","5.490","5.490","0.33%"
"Aug 86","5.472","5.472","5.472","5.472","-2.43%"
"Jul 86","5.608","5.608","5.608","5.608","-1.60%"
"Jun 86","5.699","5.699","5.699","5.699","1.66%"
"May 86","5.606","5.606","5.606","5.606","7.87%"
"Apr 86","5.197","5.197","5.197","5.197","-10.30%"
"Mar 86","5.794","5.794","5.794","5.794","-1.93%"
"Feb 86","5.908","5.908","5.908","5.908","-4.71%"
